partida_id,data,ano,rodata,mandante,visitante,gols_mandante,gols_visitante,resultado,total_gols,saldo_mandante,vencedor,arena,mandante_Estado,visitante_Estado,gols_penalti_mandante,gols_penalti_visitante,gols_contra_mandante,gols_contra_visitante,cartao_amarelo_mandante,cartao_amarelo_visitante,cartao_vermelho_mandante,cartao_vermelho_visitante,chutes_mandante,chutes_visitante,chutes_no_alvo_mandante,chutes_no_alvo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante,passes_mandante,passes_visitante,posse_de_bola_mandante,posse_de_bola_visitante
1,2003-03-29,2003,1,Guarani,Vasco,4,2,Vitória Mandante,6,2,Guarani, Brinco de Ouro,SP,RJ,,,,,,,,,,,,,,,,,,,,,,
2,2003-03-29,2003,1,Athletico-PR,Gremio,2,0,Vitória Mandante,2,2,Athletico-PR, Arena da Baixada,PR,RS,,,,,,,,,,,,,,,,,,,,,,
3,2003-03-30,2003,1,Flamengo,Coritiba,1,1,Empate,2,0,-, Maracanã,RJ,PR,,,,,,,,,,,,,,,,,,,,,,
4,2003-03-30,2003,1,Goias,Paysandu,2,2,Empate,4,0,-, Serra Dourada,GO,PA,,,,,,,,,,,,,,,,,,,,,,
5,2003-03-30,2003,1,Internacional,Ponte Preta,1,1,Empate,2,0,-, Beira Rio,RS,SP,,,,,,,,,,,,,,,,,,,,,,
6,2003-03-30,2003,1,Criciuma,Fluminense,2,0,Vitória Mandante,2,2,Criciuma, Heriberto Hulse,SC,RJ,,,,,,,,,,,,,,,,,,,,,,
7,2003-03-30,2003,1,Juventude,Sao Paulo,2,2,Empate,4,0,-, Alfredo Jaconi,RS,SP,,,,,,,,,,,,,,,,,,,,,,
8,2003-03-30,2003,1,Fortaleza,Bahia,0,0,Empate,0,0,-, Castelão,CE,BA,,,,,,,,,,,,,,,,,,,,,,
9,2003-03-30,2003,1,Cruzeiro,Sao Caetano,2,2,Empate,4,0,-, Mineirão,MG,SP,,,,,,,,,,,,,,,,,,,,,,
10,2003-03-30,2003,1,Vitoria,Figueirense,1,1,Empate,2,0,-, Barradão,BA,SC,,,,,,,,,,,,,,,,,,,,,,
11,2003-03-30,2003,1,Santos,Parana,2,2,Empate,4,0,-, Vila Belmiro,SP,PR,,,,,,,,,,,,,,,,,,,,,,
12,2003-03-30,2003,1,Corinthians,Atletico-MG,0,3,Vitória Visitante,3,-3,Atletico-MG, Pacaembu,SP,MG,,,,,,,,,,,,,,,,,,,,,,
13,2003-04-05,2003,2,Fluminense,Fortaleza,1,1,Empate,2,0,-, Maracanã,RJ,CE,,,,,,,,,,,,,,,,,,,,,,
14,2003-04-05,2003,2,Atletico-MG,Santos,0,0,Empate,0,0,-, Mineirão,MG,SP,,,,,,,,,,,,,,,,,,,,,,
15,2003-04-05,2003,2,Coritiba,Internacional,0,1,Vitória Visitante,1,-1,Internacional, Couto Pereira,PR,RS,,,,,,,,,,,,,,,,,,,,,,
16,2003-04-05,2003,2,Gremio,Guarani,3,1,Vitória Mandante,4,2,Gremio, Olímpico,RS,SP,,,,,,,,,,,,,,,,,,,,,,
17,2003-04-06,2003,2,Bahia,Flamengo,1,2,Vitória Visitante,3,-1,Flamengo, Fonte Nova,BA,RJ,,,,,,,,,,,,,,,,,,,,,,
18,2003-04-06,2003,2,Figueirense,Corinthians,3,3,Empate,6,0,-, Orlando Scarpelli,SC,SP,,,,,,,,,,,,,,,,,,,,,,
19,2003-04-06,2003,2,Paysandu,Vitoria,1,2,Vitória Visitante,3,-1,Vitoria, Mangueirão,PA,BA,,,,,,,,,,,,,,,,,,,,,,
20,2003-04-06,2003,2,Ponte Preta,Juventude,1,0,Vitória Mandante,1,1,Ponte Preta, Moisés Lucarelli,SP,RS,,,,,,,,,,,,,,,,,,,,,,
21,2003-04-06,2003,2,Parana,Athletico-PR,3,0,Vitória Mandante,3,3,Parana, Pinheirão,PR,PR,,,,,,,,,,,,,,,,,,,,,,
22,2003-04-06,2003,2,Sao Caetano,Criciuma,3,2,Vitória Mandante,5,1,Sao Caetano, Anacleto Campanella,SP,SC,,,,,,,,,,,,,,,,,,,,,,
23,2003-04-06,2003,2,Sao Paulo,Cruzeiro,2,4,Vitória Visitante,6,-2,Cruzeiro, Morumbi,SP,MG,,,,,,,,,,,,,,,,,,,,,,
24,2003-04-06,2003,2,Vasco,Goias,6,4,Vitória Mandante,10,2,Vasco, São Januário,RJ,GO,,,,,,,,,,,,,,,,,,,,,,
25,2003-04-09,2003,4,Paysandu,Santos,2,1,Vitória Mandante,3,1,Paysandu, Mangueirão,PA,SP,,,,,,,,,,,,,,,,,,,,,,
37,2003-04-12,2003,3,Internacional,Bahia,2,0,Vitória Mandante,2,2,Internacional, Beira Rio,RS,BA,,,,,,,,,,,,,,,,,,,,,,
38,2003-04-12,2003,3,Santos,Figueirense,2,0,Vitória Mandante,2,2,Santos, Vila Belmiro,SP,SC,,,,,,,,,,,,,,,,,,,,,,
39,2003-04-12,2003,3,Athletico-PR,Atletico-MG,1,2,Vitória Visitante,3,-1,Atletico-MG, Arena da Baixada,PR,MG,,,,,,,,,,,,,,,,,,,,,,
40,2003-04-12,2003,3,Corinthians,Paysandu,6,1,Vitória Mandante,7,5,Corinthians, Pacaembu,SP,PA,,,,,,,,,,,,,,,,,,,,,,
41,2003-04-13,2003,3,Vitoria,Vasco,2,1,Vitória Mandante,3,1,Vitoria, Barradão,BA,RJ,,,,,,,,,,,,,,,,,,,,,,
42,2003-04-13,2003,3,Criciuma,Sao Paulo,1,1,Empate,2,0,-, Heriberto Hulse,SC,SP,,,,,,,,,,,,,,,,,,,,,,
43,2003-04-13,2003,3,Fortaleza,Sao Caetano,1,1,Empate,2,0,-, Presidente Vargas,CE,SP,,,,,,,,,,,,,,,,,,,,,,
44,2003-04-13,2003,3,Juventude,Coritiba,2,1,Vitória Mandante,3,1,Juventude, Alfredo Jaconi,RS,PR,,,,,,,,,,,,,,,,,,,,,,
